D:\topograf\tarim-IVAN2.dwg,Model,24/02/2005 10:06:18 a.,Comunidad,HP DesignJet 450C (E/A0) by HP,ISO A0 - 841 x 1189 mm.,1:1,
G:\juan ortiz terreno PLAYA.dwg,Model,13/12/2007 06:42:58 p.,msa,HP Deskjet D2300 series,Carta,1:39.2011,
D:\imss\clinicas pequeña propiedad\TUPATARO.dwg,Model,14/12/2007 02:27:26 p.,msa,HP Deskjet D2300 series,Carta,1:10.1202,
D:\imss\clinicas pequeña propiedad\zacan.dwg,Model,14/12/2007 02:28:17 p.,msa,HP Deskjet D2300 series,Carta,1:9.83683,
D:\imss\clinicas pequeña propiedad\TEJARO DE LOS MARTINEZ-TARIMBARO-IMSS.dwg,Model,14/12/2007 02:32:36 p.,msa,HP Deskjet D2300 series,Carta,1:8.39409,
D:\imss\clinicas pequeña propiedad\san jose de la cumbre-querendaro.dwg,Model,14/12/2007 02:35:29 p.,msa,HP Deskjet D2300 series,Carta,1:7.26956,
D:\imss\clinicas pequeña propiedad\LA COYOTA-ZITACUARO-IMSS.dwg,Model,14/12/2007 03:11:55 p.,msa,HP Deskjet D2300 series,Carta,1:64.2383,
D:\imss\clinicas pequeña propiedad\ticuitaco-LA PIEDAD imss.dwg,Model,14/12/2007 03:14:26 p.,msa,HP Deskjet D2300 series,Carta,1:51.3266,
D:\imss\clinicas pequeña propiedad\mariano escobedo-Cuitzeo.dwg,Model,14/12/2007 03:22:20 p.,msa,HP Deskjet D2300 series,Carta,1:5.0601,
D:\imss\clinicas pequeña propiedad\CAPACHO-HUANDACAREO-IMSS.DWG,Model,14/12/2007 03:23:45 p.,msa,HP Deskjet D2300 series,Carta,1:6.07212,
D:\imss\clinicas pequeña propiedad\huajumbaro-ZINAPECUARO-IMSS.dwg,Model,14/12/2007 03:25:00 p.,msa,HP Deskjet D2300 series,Carta,1:10.1202,
D:\imss\clinicas pequeña propiedad\CUAMIO-cuitzeo.dwg,Model,14/12/2007 03:34:03 p.,msa,HP Deskjet D2300 series,Carta,1:10.1202,
D:\topograf\ejidos huetamo\ZURUMBENEO-IMSS.dwg,Model,14/12/2007 03:44:35 p.,msa,HP Deskjet D2300 series,Carta,1:7.18966,
D:\imss\clinicas pequeña propiedad\MACHO DE AGUA-ZITACUARO-IMSS.dwg,Model,14/12/2007 03:46:02 p.,msa,HP Deskjet D2300 series,Carta,1:6.04375,
D:\imss\clinicas pequeña propiedad\Etucuaro-TANGANCICUARO-IMSS.dwg,Model,14/12/2007 03:50:10 p.,msa,HP Deskjet D2300 series,Carta,1:25.7008,
D:\imss\clinicas ejido y comunidad\sn jeronimo-HUETAMO-IMSS.dwg,Model,14/12/2007 05:12:22 p.,msa,HP Deskjet D2300 series,Carta,1:10.1202,
D:\imss\clinicas ejido y comunidad\tzatzio-ario-imss.dwg,Model,14/12/2007 05:14:48 p.,msa,HP Deskjet D2300 series,Carta,1:10.1202,
D:\imss\clinicas pequeña propiedad\UCAREO-ZINAPECUARO-IMSS.dwg,Model,14/12/2007 05:16:31 p.,msa,HP Deskjet D2300 series,Carta,1:10.1202,
D:\colonia 18 de mayo.dwg,Model,14/12/2007 05:18:18 p.,msa,HP Deskjet D2300 series,Carta,1:15.558,
D:\imss\clinicas ejido y comunidad\EL NARANJO-AGUILILLA-imss.dwg,Model,14/12/2007 05:25:47 p.,msa,HP Deskjet D2300 series,Carta,1:14.0733,
D:\imss\clinicas ejido y comunidad\AGUILILLA-AGUILILLA-imss.dwg,Model,14/12/2007 05:31:28 p.,msa,HP Deskjet D2300 series,Carta,1:14.0733,
D:\imss\clinicas pequeña propiedad\SAN JERONIMO PURENCHECUARO-QUIROGA.dwg,Model,15/12/2007 01:18:29 p.,msa,HP Deskjet D2300 series,Carta,1:7.32846,
D:\imss\clinicas ejido y comunidad\EXHACIENDA DE DOLORES-SUSUAPUATO DE GUERRERO-IMSS.dwg,Model,15/12/2007 01:43:10 p.,msa,HP Deskjet D2300 series,Carta,1:13.8824,
D:\topograf\SAN SIMON-IXTLAN-IMSS.dwg,Model,15/12/2007 01:57:47 p.,msa,HP Deskjet D2300 series,Carta,1:40.4808,
D:\imss\clinicas pequeña propiedad\santas marias-TACAMBARO-IMSS.dwg,Model,15/12/2007 02:06:42 p.,msa,HP Deskjet D2300 series,Carta,1:27.8891,
D:\imss\clinicas pequeña propiedad\SANTA FE DE LA LAGUNA-QUIROGA-IMSS.dwg,Model,22/12/2007 01:20:12 p.,msa,HP Deskjet D2300 series,Carta,1:8.09615,
D:\topograf\CHERAN (BARRIO 1) IMSS.dwg,Model,22/12/2007 02:04:41 p.,msa,HP Deskjet D2300 series,Carta,1:6.43472,
D:\topograf\CHERAN (PARICUTIN) - IMSS.dwg,Model,22/12/2007 02:17:09 p.,msa,HP Deskjet D2300 series,Carta,1:4.62492,
D:\topograf\CUANAJO - IMSS.dwg,Model,22/12/2007 02:25:05 p.,msa,HP Deskjet D2300 series,Oficio,1:12.7,
C:\Documents and Settings\msa\Escritorio\imss\CHERANATZICURIN-PARACHO-IMSS.dwg,Model,22/12/2007 03:08:28 p.,msa,HP Deskjet D2300 series,Carta,1:7.36235,
G:\fraccionamiento vista bella.dwg,Model,04/01/2008 03:45:09 p.,msa,900X700.pc3,Pers. 1: 700 x 900 mm. (landscape),1:2,
G:\fraccionamiento vista bella.dwg,Model,04/01/2008 03:54:45 p.,msa,900X950.pc3,Pers. 1: 950 x 900 mm.,1:0.2,
G:\fraccionamiento vista bella.dwg,Model,04/01/2008 04:30:21 p.,msa,900X950.pc3,Pers. 1: 950 x 900 mm.,1:0.2,
D:\imss\ejidos sin completar\la estancia bellas fuentes nuevo centro-la huacana\La estancia - LA HUACANA.dwg,Model,18/01/2008 03:20:04 p.,msa,HP DesignJet 450C (E_A0) by HP.pc3,ANSI B - 11 x 17 in. (portrait),1:202.766,
D:\imss\ejidos sin completar\la estancia bellas fuentes nuevo centro-la huacana\La estancia - LA HUACANA.dwg,Model,18/01/2008 03:23:58 p.,msa,HP DesignJet 450C (E_A0) by HP.pc3,ANSI B - 11 x 17 in. (portrait),1:202.766,
D:\imss\clinicas ejido y comunidad\BELLAS FUENTES (NUEVO CENTRO)-LA HUACANA-IMSS.dwg,Model,18/01/2008 03:27:41 p.,msa,HP DesignJet 450C (E/A0) by HP,Legal de EE.UU. - 8,5 x 14 pulg. (portrait),1:0.5,
D:\imss\ejidos sin completar\CANCITA-PARACUARO\Cancita - Paracuaro.dwg,Model,25/01/2008 02:20:53 p.,msa,HP DesignJet 450C (E/A0) by HP,ANSI B - 11 x 17 in. (portrait),1:202.766,
D:\imss\ejidos sin completar\CANCITA-PARACUARO\Cancita - Paracuaro.dwg,Model,25/01/2008 02:27:19 p.,msa,HP DesignJet 450C (E/A0) by HP,ANSI B - 11 x 17 in. (portrait),1:202.766,
D:\imss\clinicas ejido y comunidad\las yeguas-PARACUARO-IMSS.dwg,Model,25/01/2008 03:17:06 p.,msa,HP DesignJet 450C (E/A0) by HP,Legal de EE.UU. - 8,5 x 14 pulg. (portrait),1:0.5,
D:\imss\clinicas ejido y comunidad\las yeguas-PARACUARO-IMSS.dwg,Model,25/01/2008 03:22:58 p.,msa,HP DesignJet 450C (E/A0) by HP,Legal de EE.UU. - 8,5 x 14 pulg. (portrait),1:0.5,
D:\imss\clinicas ejido y comunidad\EL CHAUZ -LA HUACANA-IMSS.dwg,Model,25/01/2008 03:42:02 p.,msa,HP DesignJet 450C (E/A0) by HP,Legal de EE.UU. - 8,5 x 14 pulg. (portrait),1:0.5,
D:\imss\ejidos sin completar\EL CHAUZ-HUACCANA-IMSS.dwg,Model,25/01/2008 03:46:10 p.,msa,HP DesignJet 450C (E/A0) by HP,ANSI B - 11 x 17 in. (portrait),1:202.766,
D:\imss\ejidos sin completar\EL CHAUZ-HUACCANA-IMSS.dwg,Model,25/01/2008 03:49:55 p.,msa,HP DesignJet 450C (E/A0) by HP,ANSI B - 11 x 17 in. (portrait),1:202.766,
D:\imss\clinicas ejido y comunidad\pedregoso-ario.dwg,Model,11/02/2008 08:38:09 p.,msa,HP Deskjet D2300 series,A4,1:26.9619,
D:\imss\ejidos sin completar\COMUNIDAD ARANZA-PARACHO\Comunidad Aranza - Paracuaro.dwg,Model,07/03/2008 01:36:28 p.,msa,900x1100.pc3,Pers. 1: 900 x 1100 mm.,1:2.5,
D:\imss\ejidos sin completar\COMUNIDAD ARANZA-PARACHO\Comunidad Aranza - Paracuaro.dwg,Model,07/03/2008 01:50:38 p.,msa,900x1100.pc3,Pers. 1: 900 x 1100 mm.,1:2.5,
D:\imss\ejidos sin completar\COMUNIDAD ARANZA-PARACHO\Comunidad Aranza - Paracuaro.dwg,Model,07/03/2008 01:51:33 p.,msa,900x1100.pc3,Pers. 1: 900 x 1100 mm.,1:2.5,
D:\Mis documentos\Bluetooth\share\gallineros\GALLINEROS-COTIJA.dwg,Model,03/09/2008 06:18:09 p.,msa,900x1100.pc3,Pers. 1: 900 x 1100 mm.,1:2.5,
D:\imss\clinicas pequeña propiedad\colonia18 de mayo-morelia.dwg,Model,19/09/2008 07:56:37 p.m.,x,HP Deskjet D2300 series,Carta,1:15.9082,
F:\poligono raul romero.dwg,Model,11/10/2008 11:38:17 a.m.,x,HP Deskjet D2300 series,Oficio,1:54.1732,
D:\imss\clinicas pequeña propiedad\comanja-coeneo-terreno.dwg,Model,23/10/2008 06:07:32 p.m.,x,HP Deskjet D2300 series,Carta,1:21.5152,
D:\imss\clinicas pequeña propiedad\comanja-coeneo-terreno.dwg,Model,23/10/2008 06:08:52 p.m.,x,HP Deskjet D2300 series,Carta,1:21.5152,
D:\imss\clinicas pequeña propiedad\comanja-coeneo-terreno.dwg,Model,23/10/2008 06:13:11 p.m.,x,HP Deskjet D2300 series,Carta,1:21.5152,
D:\imss\clinicas pequeña propiedad\comanja-coeneo-terreno.dwg,Model,23/10/2008 06:13:20 p.m.,x,HP Deskjet D2300 series,Carta,1:21.5152,
D:\imss\clinicas pequeña propiedad\comanja-coeneo-terreno.dwg,Model,23/10/2008 06:30:12 p.m.,x,HP Deskjet D2300 series,Carta,1:21.5152,
D:\imss\clinicas pequeña propiedad\comanja-coeneo-terreno.dwg,Model,23/10/2008 06:30:20 p.m.,x,HP Deskjet D2300 series,Carta,1:21.5152,
D:\imss\clinicas pequeña propiedad\comanja-coeneo-terreno.dwg,Model,23/10/2008 06:32:03 p.m.,x,HP Deskjet D2300 series,Carta,1:21.5152,
D:\imss\clinicas pequeña propiedad\comanja-coeneo-terreno.dwg,Model,23/10/2008 06:37:03 p.m.,x,HP Deskjet D2300 series,Carta,1:10.7576,
D:\MEMORIA SONY\PUERTA-DE-JARIPITIRO.dwg,Model,23/10/2008 06:53:34 p.m.,x,HP Deskjet D2300 series,Carta,1:7.814,
D:\dd1\Mis documentos\Bluetooth\share\cerrito de pescadore-Vcarransaimss.dwg,Model,28/10/2008 07:32:00 p.m.,x,HP Deskjet D2300 series,Oficio,1:0.5,
D:\dd2\imss\clinicas pequeña propiedad\SAN JERONIMO-HUETAMO.dwg,Model,03/11/2008 04:31:38 p.m.,x,HP Deskjet D2300 series,Carta,1:35.3549,
D:\dd2\imss\clinicas pequeña propiedad\SAN JERONIMO-HUETAMO.dwg,Model,03/11/2008 04:35:22 p.m.,x,HP Deskjet D2300 series,Carta,1:35.3549,
D:\imss\clinicas pequeña propiedad\ANGAO-SAN LUCAS-IMSS.dwg,Model,03/11/2008 04:36:09 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\clinicas pequeña propiedad\SAN PEDRITO-SAN LUCAS-IMSS.DWG,Model,03/11/2008 04:39:39 p.m.,x,HP Deskjet D2300 series,Carta,1:38.569,
D:\imss\clinicas pequeña propiedad\SAN PEDRITO-SAN LUCAS-IMSS.DWG,Model,03/11/2008 04:41:08 p.m.,x,HP Deskjet D2300 series,Carta,1:38.569,
D:\imss\clinicas ejido y comunidad\VICENTE RIVAPALACIO-SAN LUCAS-IMSS.dwg,Model,03/11/2008 04:43:09 p.m.,x,HP Deskjet D2300 series,Carta,1:38.569,
D:\imss\clinicas pequeña propiedad\MANZANO DE CHINCUA-SENGUIO-IMSS.dwg,Model,03/11/2008 04:56:53 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\MANZANO DE CHINCUA-SENGUIO-IMSS.dwg,Model,03/11/2008 04:59:47 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\16050031-URIPITIO-Maravatio.dwg,Model,03/11/2008 05:10:28 p.m.,x,HP Deskjet D2300 series,Carta,1:42.8545,
D:\imss\clinicas ejido y comunidad\SAN MATIAS EL GRANDE-CIUDAD HIDALGO.dwg,Model,03/11/2008 05:16:55 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\huajumbaro-ZINAPECUARO-IMSS.dwg,Model,03/11/2008 05:23:16 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas ejido y comunidad\capula-morelia-imss.dwg,Model,03/11/2008 05:40:15 p.m.,x,HP Deskjet D2300 series,Carta,1:29.9981,
D:\imss\clinicas pequeña propiedad\SANTA MARIA JURUREMBARO- V M.dwg,Model,03/11/2008 06:08:28 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\clinicas pequeña propiedad\SANTA MARIA JURUREMBARO- V M.dwg,Model,03/11/2008 06:28:50 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\clinicas pequeña propiedad\chiquimitio-morelia-imss.dwg,Model,03/11/2008 06:30:46 p.m.,x,HP Deskjet D2300 series,Carta,1:27.8554,
D:\dd2\topograf\EJIDOS\ELCUERVO.dwg,Model,03/11/2008 06:37:57 p.m.,x,HP Deskjet D2300 series,Carta,1:25.927,
D:\imss\clinicas ejido y comunidad\SANLUCASPIO-IMSS.dwg,Model,03/11/2008 06:41:47 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\CAPACHO-HUANDACAREO-IMSS.DWG,Model,03/11/2008 06:45:20 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\clinicas pequeña propiedad\CUAMIO-cuitzeo.dwg,Model,03/11/2008 06:49:38 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\dd2\topograf\la purisima-ALVARO OBREGON-imss.dwg,Model,03/11/2008 06:57:07 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\dd1\topograf\HUIRAMBA-IMSS.dwg,Model,03/11/2008 07:01:19 p.m.,x,HP Deskjet D2300 series,Carta,1:36.4263,
D:\dd2\topograf\capturas ejidos\atecuaro.dwg,Model,03/11/2008 07:05:57 p.m.,x,HP Deskjet D2300 series,Carta,1:42.8545,
D:\dd2\imss\clinicas pequeña propiedad\devanador-zitzio-imss.dwg,Model,03/11/2008 07:08:45 p.m.,x,HP Deskjet D2300 series,Carta,1:26.7841,
D:\imss\clinicas pequeña propiedad\pie de la mesa-imss.dwg,Model,03/11/2008 07:17:00 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\clinicas pequeña propiedad\TECARiO-TACAMBARO.dwg,Model,03/11/2008 07:20:03 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas ejido y comunidad\pedregoso-ario.dwg,Model,03/11/2008 07:20:47 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\clinicas pequeña propiedad\san angel ZURUMUCAPIO-ZIRACUARETIRO-imss.dwg,Model,03/11/2008 07:39:28 p.m.,x,HP Deskjet D2300 series,Carta,1:23.57,
D:\dd1\topograf\ZIPIAJO-IMSS.dwg,Model,03/11/2008 07:42:40 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\dd2\topograf\capturas ejidos\ajuno-patzcuaro.dwg,Model,03/11/2008 07:48:03 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\clinicas ejido y comunidad\Primo Tapia (Santa Ana Chapitiro)-PATZCUARO-imss.dwg,Model,03/11/2008 07:51:28 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\EJIDOS COMPLETOS\san andres zirondaro-quiroga\san andres zirondaro - quiroga.dwg,Model,03/11/2008 07:53:54 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\EJIDOS COMPLETOS\san andres zirondaro-quiroga\san jeronimo purenchecuaro - quiroga.dwg,Model,03/11/2008 07:56:04 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\dd1\topograf\ZIRAHUEN-IMSS.dwg,Model,03/11/2008 07:59:03 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\dd1\topograf\puerta-de-jaripitiro-imss.dwg,Model,03/11/2008 08:01:14 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\geo\cheran barrio paricutin-cheran.dwg,Model,03/11/2008 08:04:43 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\MEMORIA SONY\CHERANATZICURIN-IMSS.dwg,Model,05/11/2008 01:38:27 p.m.,x,HP Deskjet D2300 series,Carta,1:42.8545,
D:\imss\clinicas pequeña propiedad\nuevo zirosto-uruapan-imss.dwg,Model,05/11/2008 01:43:15 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\CAPACUARO.dwg,Model,05/11/2008 01:50:25 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\dd2\imss\clinicas pequeña propiedad\PARACHO-IMSS.dwg,Model,05/11/2008 02:04:13 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\dd2\topograf\capturas ejidos\LA ESCONDIDA=ZACAPU.dwg,Model,05/11/2008 02:11:47 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\dd2\imss\clinicas ejido y comunidad\comanja-coeneo-imss.dwg,Model,05/11/2008 02:19:23 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\dd2\topograf\capturas ejidos\NARANJA DE TAPIA-ZACAPU.dwg,Model,05/11/2008 02:23:44 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\pueblo viejo-Querendaro.dwg,Model,05/11/2008 02:32:04 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\geo\el pueblito-zacapu.dwg,Model,05/11/2008 02:33:57 p.m.,x,HP Deskjet D2300 series,Carta,1:26.7841,
D:\dd2\mis doc\CANTABRIA-ZACAPU-IMSS.dwg,Model,05/11/2008 02:43:37 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\dd1\topograf\ANTONIO TARIACURI.dwg,Model,05/11/2008 03:03:51 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\LAYERBABUENA-TLAZAZALCA.dwg,Model,05/11/2008 03:10:53 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas ejido y comunidad\JANAMUATO.dwg,Model,05/11/2008 03:18:31 p.m.,x,HP Deskjet D2300 series,Carta,1:26.7841,
D:\imss\clinicas pequeña propiedad\curimeo-panindicuaro.dwg,Model,05/11/2008 03:34:52 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\ejidos sin completar\06301702-SAN MIGUEL EPEJAN-PANINDICUARO.dwg,Model,05/11/2008 05:33:23 p.m.,x,HP Deskjet D2300 series,Carta,1:26.7841,
D:\imss\clinicas pequeña propiedad\cañada de ramires imss-NUMARAN-IMSS.dwg,Model,05/11/2008 05:38:15 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\gomez farias-TANGANCICUARO-IMSS.dwg,Model,05/11/2008 05:48:18 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\Etucuaro-TANGANCICUARO-IMSS.dwg,Model,05/11/2008 05:53:44 p.m.,x,HP Deskjet D2300 series,Carta,1:26.7841,
D:\imss\clinicas ejido y comunidad\PLAZA DEL LIMON-IXTLAN-IMSS.dwg,Model,05/11/2008 06:16:35 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas ejido y comunidad\PLAZA DEL LIMON-IXTLAN-IMSS.dwg,Model,05/11/2008 06:20:44 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\tarecuato-tangamandapioimss.dwg,Model,05/11/2008 06:34:37 p.m.,x,HP Deskjet D2300 series,Carta,1:37.4977,
D:\imss\clinicas ejido y comunidad\LA CANTERA Y SU ANEXO LOS LOBOS - Tangamandapio-IMSS.dwg,Model,05/11/2008 06:45:21 p.m.,x,HP Deskjet D2300 series,Carta,1:26.7841,
D:\dd2\topograf\los hucuares-TANGAMANDAPIO -imss.dwg,Model,05/11/2008 06:50:50 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\clinicas ejido y comunidad\TOTOLAN-REMEDIOS-IMSS.dwg,Model,05/11/2008 06:58:30 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\geo\rincon de jaripo-villamar.dwg,Model,05/11/2008 07:04:29 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas ejido y comunidad\SAN GREGORIO-PAJACUARAN-IMSS.dwg,Model,05/11/2008 07:15:49 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\clinicas pequeña propiedad\tecomatan-pajacuaran-imss.dwg,Model,05/11/2008 07:19:42 p.m.,x,HP Deskjet D2300 series,Carta,1:26.7841,
D:\imss\geo\zacan mun Los Reyes.dwg,Model,05/11/2008 07:22:33 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\imss\clinicas ejido y comunidad\san francisco periban-PERIBAN-IMSS.dwg,Model,05/11/2008 07:38:56 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\apo-TANCITARO-imss.dwg,Model,05/11/2008 08:33:40 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\apo-TANCITARO-imss.dwg,Model,05/11/2008 08:36:57 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\MEMORIA SONY\URINGUITIRO-TANCITARO.dwg,Model,05/11/2008 08:39:43 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\dd1\topograf\SANTIAGO-ACAHUATO.dwg,Model,05/11/2008 08:52:48 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\ejidos inegi\10701101-TAREJERO-zacapu.dwg,Model,05/11/2008 09:01:33 p.m.,x,HP Deskjet D2300 series,Carta,1:32.1409,
D:\dd2\imss\clinicas ejido y comunidad\tirindaro-zacapu.dwg,Model,05/11/2008 09:24:01 p.m.,x,HP Deskjet D2300 series,Carta,1:28.9268,
D:\dd2\imss\clinicas ejido y comunidad\san antonio guaracha-villamar-imss.dwg,Model,05/11/2008 09:33:34 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\EJIDOS COMPLETOS\EL BASTAN-HUETAMO\EL BASTAN-HUETAM.dwg,Model,06/11/2008 05:48:56 p.m.,x,HP Deskjet D2300 series,Carta,1:26.0983,
D:\imss\clinicas ejido y comunidad\san francisco periban-PERIBAN-IMSS.dwg,Model,06/11/2008 05:54:33 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\nuevo zirosto-uruapan-imss.dwg,Model,06/11/2008 05:58:15 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\gomez farias-TANGANCICUARO-IMSS.dwg,Model,06/11/2008 06:21:14 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\clinicas pequeña propiedad\LAYERBABUENA-TLAZAZALCA.dwg,Model,06/11/2008 06:22:37 p.m.,x,HP Deskjet D2300 series,Carta,1:21.4272,
D:\imss\geo\el pueblito-zacapu.dwg,Model,06/11/2008 06:24:46 p.m.,x,HP Deskjet D2300 series,Carta,1:26.7841,
D:\dd2\topograf\ejidos huetamo\ZURUMBENEO-IMSS.dwg,Model,06/11/2008 08:00:01 p.m.,x,HP Deskjet D2300 series,Carta,1:42.8545,
